#Difficulty	Question	Correct Answer	Answer #2   Answer #3	Answer #4	Background information
0	Who was the first President of the United States?	George Washington	Abraham Lincoln William J.Clinton	Thomas Jefferson	
2	Catnip is most similar to what herb?	Mint	Oregano	Parsley	Pepper	
2	Which of the following is not a woodwind instrument?	Coronet	Flute	Saxophone	Oboe	
2	Which of the following is not one of the primary colors of light?	Yellow	Red	Blue	Green	
2	The lowest point of land in the United States is in what state?	California	Kansas	Alaska	Illinois	#The floor of Death Valley National Park in California is 282 ft *below* sea level.
2	The highest mountain of the 50 states of the United States is in what state?	Alaska	Oregon	Colorado	California	"#The tallest mountain in the 50 U.S. states is Mount McKinley, Alaska.  The tallest in the lower 48 states is Mount Whitney, California."
2	What is the longest river in the world?	Nile	Mississippi	Columbia	Amazon	
2	The 1996 summer Olympic Games was held in what country?	United States	Japan	France	South Korea	
2	The 1998 winter Olympic Games was held in what country?	Japan	United States	Canada	Austria	
2	Who's portrait is on the U.S. $50 bill?	Ulysses S. Grant	Abraham Lincoln	Benjamin Franklin	Andrew Jackson	
2	Who's portrait is on the U.S. $100 bill?	Benjamin Franklin	Abraham Lincoln	Alexander Hamilton	George Washington	
2	Napoleon I was the ruler of which country?	France	Italy	England	Spain	
2	Approximately how many kilometers are in a mile?	1.16	32.2	0.862	1.8	
2	"What type of math would you use to solve ""x + 3 = 7""?"	Algebra	Arithmetic	Geometry	Calculus	
2	"What type of math would you use to solve ""1 + 3 =""?"	Arithmetic	Algebra	Geometry	Partial Differential Equations	
2	Sir Isaac Newton was credited with which of the following law?	Gravity	Relativity	Entropy	Morality	
2	Which is not a percussion instrument?	Piano	Xylophone	Snare drum	Cymbals	"#Though the piano has ""hammers"" which strike the string, it is considered a stringed instrument."
2	A barrette is used on what part of the body?	Hair	Eyebrows	Fingernails	Mouth	
2	Natural pearls are made by what shellfish?	Oyster	Clam	Mussels	Crab	
2	What is the world's fastest land animal?	Cheetah	Greyhound	Gazelle	Ostrich	
2	"The brand name drink ""V8"" primarily contains what fruit/vegetable?"	Tomato	Carrot	Strawberries	Banana	
2	What state was the center of the vote recount controversy in the 2000 Presidential election?	Florida	New York	California	Idaho	
2	"What was the official winning prize for the last remaining survivor of the first ""Survivor"" show?"	$ 1 Million	$ 5 Million	$ 500 Thousand	$ 2 Million	
2	"Who is the host of the U.S. version of ""Jeopardy""?"	Alex Trebek	Anne Robinson	Pat Sajak	Regis Philbin	
2	"The clock tower containing ""Big Ben"" is located in what city?"	London	New York	Chicago	Amsterdam	
2	Who was the first paying American tourist to the International Space Station?	Dennis Tito	Bill Gates	Warren Buffet	Joseph Ellison	
2	Who is the current First Lady of the United States?	Laura Bush	Barbara Bush	Jenna Bush	Lorraine Bush	"#Barbara and Jenna Bush are President & Laura Bush's twin daughters.  Barbara was named after her grandmother, the former first lady, Barbara Bush."
2	"Who invented the ""Model T"" automobile?"	Henry Ford	William Randolph Hearst	George Kelly	Walter P. Chrysler	
2	"On what date did the Japanese bomb Pearl Harbor, Hawaii?"	"December 7th, 1941"	"December 9th, 1941"	"December 15th, 1941"	"December 1st, 1941"	
2	Late author Samuel Langhorne Clements is better known by what pseudonym?	Mark Twain	Tom Sawyer	Edgar Allan Poe	Lewis Carroll	
2	Which of the following countries was not an Axis power in WWII	Russia	Germany	Italy	Japan	
2	Who was the first woman to make a solo flight across the Atlantic?	Amelia Earhart	Jean Grey	Sharon McAuliffe	Bessie Coleman	
2	What is the chemical symbol for gold?	Au	Ag	Gd	Cu	
2	"Who wrote the song, ""Star-Spangled Banner""?"	Francis Scott Key	George Gershwin	Irving Berlin	John Philip Sousa	
2	Jim Davis is the creator of what comic strip?	Garfield	Ziggy	B.C.	Far Side	
2	The International Dateline runs primarily through which ocean?	Pacific	Atlantic	Indian	Antarctic	
2	"The Prime Meridian, the basis for 0 degree longitude, is defined to pass through what place?"	Royal Observatory Greenwich	Tower of London	Eiffel Tower	Stevens Tower	#The Prime Meridian is used as the standard time reference called Greenwich Mean Time (GMT).
2	"Traditionally, what is put in a ""hope chest""?"	Household goods	Memories	Books	Money	
2	What is the name for a deep trench that is used for fortification and is usually filled with water?	Moat	Stockade	Parapet	Barbican	
2	Manicures are done on what part of the body?	Hands	Feet	Back	Face	
2	Which of the following is not a Romantic language?	German	French	Italian	Spanish	
2	What radioactive gas is sometimes tested for when purchasing a home?	Radon	Carbon Dioxide	Hydrogen	Krypton	
2	What is the current *federal* minimum wage?	$5.15 	$5.75 	$4.85 	$6.35 	#Washington STATE's minimum wage is currently $6.90.
2	"The French word ""rouge"" is what color in English?"	Red	Black	Green	Blue	
2	What process does milk typically undergo to increase its shelf life?	Pasteurization	Preservation	Aging	Irradiation	
2	"In baseball, a ""one / two"" pitch means that the batter currently has what?"	One ball and two strikes	One strike and two balls	1 foul ball and 2 strikes	Swung on only 1 out of 2 pitches	
2	What organization is best known for placing Bibles in motels and hotels?	Gideon International	Salvation Army	International Bible Society	Bible Study Fellowship	
2	"The chemical, saccharin, is commonly used as a __________?"	Sweetener	Glue	Food coloring	Drug	
2	What is Gumby's best friend's name (i.e. the 4-legged one)?	Pokey	Horsey	Goo	Prickle	
2	"What is the award presented at the annual ""Academy Awards"" for film?"	Oscar	Emmy	Tony	Grammy	
2	"What does the Republican abbreviation ""GOP"" currently stand for?"	Grand Old Party	Grand Old Public	GO Party	Get Out and Push	
2	What government agency is the principle investigative arm of the US Department of Justice?	FBI	CIA	FAA	INS	
2	What is the motto of the U.S. Marine Corp?	Semper fidelis	Carpe diem	Magnum opus	Mea culpa	
2	What abbreviated title would most likely follow the name of a dentist?	D.D.S.	M.D.	D.V.M.	D.S.O.	
2	What fraction of both houses must pass a bill in order to override a presidential veto?	Two-thirds	Majority	Three-quarters	Eight-tenths
2	Deer meat is also known as what?	Venison	Mincemeat	Beefalo	Grouse
2	What is the length of a long-distance marathon (approximate)?	26 miles	100 miles	25 miles	13 miles
2	In what state is Mount Rushmore National Monument located?	South Dakota	North Dakota	Idaho	Montana
2	Which of the following four hands would be the winning poker hand?	Full house	Three of a kind	Straight	Flush
2	"Who is the head of the ""Office of Homeland Security""?"	Tom Ridge	Alan Greenspan	Gale Norton	Rod Paige
2	"In the 1939 movie, ""The Wizard of Oz,"" who played Dorothy?"	Judy Garland	Rosemary Murphy	Lauren Hutton	Ingrid Bergman
2	Zero degrees latitude is common known as the 	Equator	North Pole	South Pole	International dateline
3	"Besides Washington D.C., what other city served as the capital of the United States?"	Philadelphia	New York	Boston	Baltimore
3	Approximately how many liters are in a U.S. liquid gallon?	3.79	3.1415	2.2	6.022
3	The speed of light is approximately how fast?	"186,000 miles per sec"	"5,500 miles per sec"	"1,670 miles per sec"	"512,000 miles per sec"
3	Which of the following countries is not in South America?	Madagascar	Peru	Brazil	Bolivia
3	Which of the following countries is not in Western Europe?	Turkey	Finland	Portugal	Italy
3	Which of the following is not one of William Shakespeare's works?	Odyssey	Romeo & Juliet	Henry VIII	Macbeth
3	Modern black pencil lead is primarily made of which substance?	Graphite	Lead	Charcoal	Tar
3	"The ""Leaning Tower of Pisa"" is located in what country?"	Italy	Spain	Portugal	Sweden
3	Who is the current U.S. Secretary of State?	Colin Powell	Drew Pickering	Donald Rumsfeld	William O'Day
3	Who is the current U.S. Attorney General?	John Ashcroft	Laurence Fishburne	Clarence Thomas	Frederic Richardson
3	The tiger is native to what continent?	Asia	Africa	America	Australia
3	What was Al Capone convicted of?	Tax Evasion	Bootlegging	Drug running	Accessory to murder
3	"Who was the author of the classic novel, ""Little Women""?"	Louisa May Alcott	Jane Austen	Charlotte Bronte	Emily Dickinson
3	"What is the surname of Anastasia, the daughter of the last Russian Czar?"	Romanov	Stalin	Cussack	Dmitrii
3	"What is a ""depilatory cream"" used for?"	Hair removal	Moisturizing	Adding color	Pain relief
3	"Beijing, China, is (historically) know by what name?"	Peking	Nanking	Kirin	Shanghai
3	What is the metal mouthpiece of a horse's bridle called?	Bit	Stirrup	Horn	Girth
3	"On a standard baseball field, what is the distance between 1st and 2nd base?"	90 feet	78.5 feet	120 feet	60 feet
3	An electrocardiograph is an instrument used to measure what?	Heart activity	Respiration	Blood pressure	Brain activity
3	How many bones are in the cervical vertebrae?	7	5	8	12
3	A person who comes aboard a ship to steer it in or out of a port is called a what?	Pilot	Porter	Conductor	Driver
3	A catamaran is a type of what?	Boat	Fish	Bird	Aircraft
3	"In Daniel Defoe's novel, ""Robinson Crusoe,"" what name did Crusoe give his friend?"	Friday	Bantu	Michael	Friend
3	"In photography, a film's ISO/ASA number indicates what?"	Film speed	Maximum exposure level	Developing process	Color temperature
3	Upon what island does the Statue of Liberty stand?	Liberty Island	Ellis Island	Staten Island	Coney Island
3	"In golf, what is the term for a score of ""one under par"" on a hole?"	Birdie	Bogey	Mulligan	Eagle
3	Which of the following military officers has the higher rank (U.S. Army)?	Colonel	Captain	Major	Lieutenant Colonel
3	Which of the following military officers has the higher rank (U.S. Navy)?	Captain	Commander	Lieutenant Commander	Lieutenant
3	What is the name of the Russian space station launched in 1986?	Mir	Itar	Borsche	Freedom
3	Who is the author of the original Sherlock Holmes stories?	Sir Arthur Conan Doyle	Edgar Rice Burroughs	Rudyard Kipling	Jack London
3	President John F. Kennedy was assassinated in what Texas city?	Dallas	Houston	Austin	Waco
3	Cooking food slowly in a small amount of liquid in a tightly covered pan is called what?	Braise	Stew	Saute	Mull
3	"What airplane is currently flown by the Navy's ""Blue Angels""?"	F/A-18 Hornet	F-22 Raptor	F-15E Strike Eagle	F-16 Fighting Falcon
3	"Who directed the 1998 movie, ""Saving Private Ryan?"""	Steven Spielberg	James Cameron	Ron Howard	Tom Hanks
3	Who composed the music for the Nutcracker Ballet?	Tchaikovsky	Shostakovich	Brahms	Schubert
3	"Who composed the operas ""Don Giovanni?"" and ""Nozze Di Figaro"" (The Marriage of Figaro)?"	Mozart	Handel	Beethoven	Scarlatti
3	What is the capital city of Canada?	Ottawa	Quebec	Toronto	Montreal
3	What country is the disputed region known as the Golan Heights in?	Israel	Iraq	Kuwait	Egypt
3	What was the name of the U.S. Space Shuttle that exploded in 1986?	Challenger	Discovery	Enterprise	Atlantis
3	Which of the following is not a hair style?	Chub	Pompadour	Mohawk	Flattop
3	"What is the literary term meaning ""a prose or poetic story that illustrates a moral?"""	Fable	Ballad	Epic	Analogy
3	"What type of law protects works of authorship, whether published or unpublished?"	Copyright	Patent	Trademark	Passport
3	Who would be the successor to the presidency after the President and Vice President?	Speaker of the House	Secretary of State	President Pro Tempore (Senate)	Attorney General
3	"A girl acquires a ""trousseau"" at what stage of life?"	Engagement	Sixteenth birthday	First baby	Wedding
3	At what country was the USS Cole docked when it was attacked by terrorists?	Yemen	Egypt	Qatar	Oman
3	Who is the current Prime Minister of Great Britain?	Tony Blair	John Major	Margaret Thatcher	James Callaghan
3	The mouth of the Mississippi is located in what state?	Louisiana	Mississippi	Texas	Alabama
3	"Who painted the ""Mona Lisa?"""	da Vinci	Monet	Raphael	Michelangelo
3	Which of the following is considered a semiprecious gemstone?	Topaz	Diamond	Ruby	Sapphire
3	"Who signature was the largest signature on the ""Declaration of Independence"" of the U.S.?"	John Hancock	Benjamin Franklin	Thomas Jefferson	Samuel Adams
3	"Which of the following artist's subject was primarily ""life on the western plains?"""	Frederic Remington	Norman Rockwell	Edward Hopper	Andy Warhol
4	"The hormone, epinephrine, is more commonly know by what name?"	Adrenaline	Prolactin	Insulin	Pheromones
4	"Istanbul, Turkey, was formerly known as what city?"	Constantinople	Ankara	Ishmir	Nineveh
4	"In sewing, using long, loose stitches to hold material in place is called"	Basting	Fixing	Linking	Backing
4	The official residence of the Vice President of the United States is located on what site?	US Naval Observatory	Fort McNair	National Arboretum	Mount Vernon
4	"What late cartoonist is associated with ""making complex mechanisms to do a simple task""?"	Rube Goldberg	Gary Trudeau	Walt Kelly	Bill Watterson
4	Approximately how much does one gallon of water weigh at room temperature?	8.3 lbs	9.7 lbs	6.3 lbs	5.5 lbs
4	Who is the first American to win the Tour de France three times in a row?	Lance Armstrong	Jan Ullrich	Christopher Jenner	Tyler Hamilton
4	"What was the first name of Kentucky Fried Chicken's founder, Colonel Sanders?"	Harland	Roger	Alfred	Richmond
4	"Who was the author of the ""Wizard of Oz"" books?"	L. Frank Baum	Lewis Carroll	Kenneth Grahame	Washington Irving
4	"What latitude defines the northern border of Idaho, Montana and North Dakota?"	48th Parallel	47th Parallel	50th Parallel	49th Parallel
4	Approximately how long does it take for light from the Sun to reach Earth?	8 minutes	5 minutes	3 minutes	Less than 1 minute
4	"What is a technical name for ""farsightedness""?"	Hyperopia	Astigmatism	Myopia	Presbyopia
4	"The carat, a unit for measuring the mass of gemstones, is equal to how many milligrams?"	200 mg	100 mg	50 mg	500 mg
4	Who is credited with the invention of the wireless telegraph (radio)?	Guglielmo Marconi	Alexander Graham Bell	Enrico Fermi	Robert N. Hall
4	Who invented dynamite?	Alfred Nobel	Elisha Graves Otis	George Eastman	Robert H. Goddard
4	What was Dr. Seuss' (1904-1991) real name?	Theodore Geisel	Dav Pilkey	Carol Otis Hurst	Steven Kellogg
